,Name,Year of release,Aired On,Number of Episode,Duration,Content Rating,Tags,Rank,Rating,Start Date,End Date,Network 1,Network 2,Genre 1,Genre 2,Main Actor,Second Role
89,Kairos,2020," Monday, Tuesday",16,70,15+,"Time Altering, Past And Present, Hardworking Male Lead, Smart Male Lead, Family Secret, Rich Male Lead, Betrayal, Gaslighting, Different Timelines, Successful Male Lead",90,8.5,2020-10-26,2020-12-22,MBC,,Action, Thriller,Shin Sung Rok,Lee Se Young
90,Dali and the Cocky Prince,2021," Wednesday, Thursday",16,65,15+,"Smart Female Lead, Rich Female Lead, Art Gallery, Rich Male Lead, Multilingual, Bankruptcy, Art, Eccentric Male Lead, Healthy Mains’ Relationship, Male Chases Female First",91,8.5,2021-09-22,2021-11-11,KBS2,,Comedy, Romance,Park Gyu Young,Kim Min Jae
91,Yumi's Cells,2021," Friday, Saturday",14,70,13+,"Career Woman, Slice Of Life, Friendship, Mixed Live Action-Animation, Office Worker, Workplace, Adapted From A Webtoon, Honest Male Lead, Game Developer, Personal Growth",92,8.5,2021-09-17,2021-10-30,tvN,,Psychological, Comedy,Kim Go Eun,Ahn Bo Hyun
92,Arthdal Chronicles Part 1,2019," Saturday, Sunday",6,80,15+,"Power Struggle, Multiple Mains, Curse, Hidden Identity, Identical Twins, Strong Female Lead, War, Orphan Male Lead, Slavery, Shamanism",93,8.5,2019-06-01,2019-06-16,Netflix,tvN,Historical, Romance,Song Joong Ki,Kim Ji Won
93,Beautiful World,2019," Friday, Saturday",16,60,15+,"School Bullying, Family Relationship, Coma, Tearjerker, Sibling, Student, Psychopath, High School, Married Couple, Strong Female Lead",94,8.5,2019-04-05,2019-05-25,jTBC,Viki,Life, School,Park Hee Soon ,Choo Ja Hyun
94,What's Wrong with Secretary Kim,2018," Wednesday, Thursday",16,69,15+,"Adapted From A Webtoon, Steamy Kiss, Male Chases Female First, Boss-Employee Relationship, Office Romance, Rich Male Lead, Calm Female Lead, Trauma, Smart Female Lead, Secretary",95,8.5,2018-06-06,2018-07-26,tvN,,Friendship, Business,Park Min Young,Park Seo Joon
95,Vagabond,2019," Friday, Saturday",16,70,15+,"Plane Crash, Revenge, National Intelligence Service, Corruption, Agent, Death Of A Child, Death, Spy, Strong Male Lead, Terrorist",96,8.5,2019-09-20,2019-11-23,Netflix,SBS,Action, Thriller,Lee Seung Gi,Bae Suzy
96,Doctor John,2019," Friday, Saturday",32,35,15+,"Smart Male Lead, Incurable Disease, Eccentric Male Lead, Euthanasia, Hardworking Male Lead, PTSD, Ex-convict, Secret, Trauma, Tragic Past",97,8.5,2019-07-19,2019-09-07,SBS,,Mystery, Romance,Ji Sung,Lee Se Young
97,When the Camellia Blooms,2019," Wednesday, Thursday",40,35,15+,"Single Mother, Mystery, Motherhood, Serial Killer, Mother-Son Relationship, Hardworking Female Lead, Dorky Male Lead, Male Chases Female First, Nice Male Lead, Independent Female Lead",98,8.5,2019-09-18,2019-11-21,KBS2,Netflix,Thriller, Comedy,Gong Hyo Jin,Kang Ha Neul
98,Because This Is My First Life,2017," Monday, Tuesday",16,70,15+,"Contract Relationship, Marriage Of Convenience, Housemates, Eccentric Male Lead, Multiple Couples, Cohabitation, Sismance, Nerdy Male Lead, Writer, Multiple Mains",99,8.5,2017-10-09,2017-11-28,tvN,,Comedy, Romance,Jung So Min,Lee Min Ki
99,Fight For My Way,2017," Monday, Tuesday",16,60,15+,"Childhood Friends, Friends To Lovers, Strong Male Lead, Strong Female Lead, Neighbors, Strong Friendship, Personal Growth, Character Development, Secondary Couple, Ex-girlfriend Comes Back",100,8.5,2017-05-22,2017-07-11,KBS2,,Business, Comedy,Park Seo Joon,Kim Ji Won
